WW,BuildComment,StreamName,TestSessionFirstRunTPT,TestSessionTotalTPT,TaskFirstRunMachineHours,TaskReRunMachineHours,TSDuration,QBBuildDuration,TotalDuration
30,manual-main-129648,Media-Encode-CNL-PreETM,12:41:31,12:41:31,180:42:48,"",33:01:46,00:54:14,33:56:00
30,manual-main-129648,Media-Encode-BXT-PreETM,33:01:45,33:01:46,606:29:03,"",33:01:46,00:54:14,33:56:00
30,manual-main-129633,Media-CP-BXT-PreETM,00:08:58,00:08:58,143:59:31,"",0:08:58,01:10:36,01:19:34
30,manual-main-129631,Media-Encode-BXT-PreETM,28:46:07,28:46:07,987:30:08,"",28:46:07,00:59:14,29:45:21
30,manual-main-129631,Media-Encode-CNL-PreETM,04:14:00,04:14:00,52:02:21,"",28:46:07,00:59:14,29:45:21
30,manual-main-129631,Media-Encode-KBL-PreETM,08:23:27,08:23:27,30:08:14,"",28:46:07,00:59:14,29:45:21
30,manual-main-129457,Media-VP-BXT-PreETM,13:25:42,13:25:43,105:28:38,"",13:25:43,01:44:41,15:10:24
30,manual-main-129449,Media-Decode-CNL-PreETM,03:53:15,03:53:15,69:14:25,"",4:28:46,00:48:27,05:17:13
30,manual-main-129449,Media-Decode-BXT-PreETM,04:28:45,04:28:46,246:41:05,"",4:28:46,00:48:27,05:17:13
30,manual-main-129447,Media-Decode-BXT-PreETM,04:42:04,04:42:04,182:46:02,"",9:14:09,00:48:01,10:02:10
30,manual-main-129447,Media-Decode-CNL-PreETM,09:13:18,09:13:18,108:42:20,"",9:14:09,00:48:01,10:02:10
30,manual-main-129438,Media-Encode-BXT-PreETM,05:13:21,73:49:22,52:31:02,20:33:15,73:49:22,00:49:45,74:39:07
30,manual-main-129438,Media-Encode-BXT-PreETM,05:13:21,73:49:22,52:31:02,9:06:47,73:49:22,00:49:45,74:39:07
30,manual-main-129438,Media-Encode-KBL-PreETM,01:17:23,01:17:23,16:40:38,20:33:15,73:49:22,00:49:45,74:39:07
30,manual-main-129438,Media-Encode-KBL-PreETM,01:17:23,01:17:23,16:40:38,9:06:47,73:49:22,00:49:45,74:39:07
30,manual-main-129438,Media-Encode-CNL-PreETM,03:13:44,48:37:36,41:49:16,20:33:15,73:49:22,00:49:45,74:39:07
30,manual-main-129438,Media-Encode-CNL-PreETM,03:13:44,48:37:36,41:49:16,9:06:47,73:49:22,00:49:45,74:39:07
